0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:14 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:15 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:23 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:23 +0900] "GET /web1/index12.css HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:13:24 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:14:40 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:14:40 +0900] "GET /web1/index12.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [09/May/2023:10:14:40 +0900] "GET /web1/m_chcek_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:14:40 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:14:40 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:20 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:20 +0900] "GET /web1/index12.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:20 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:20 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:22 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:22 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:22 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:15:22 +0900] "GET /web1/index12.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:05 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:05 +0900] "GET /web1/index12.css HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:05 +0900] "GET /web1/m_chcek_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:14 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:14 +0900] "GET /web1/index12.css HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:38 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:18:38 +0900] "GET /web1/index12.css HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [09/May/2023:10:19:46 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:19:46 +0900] "GET /web1/index12.css HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [09/May/2023:10:19:46 +0900] "GET /web1/m_chcek_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:20:03 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:20:03 +0900] "GET /web1/index12.css HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:04 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:04 +0900] "GET /web1/index12.css HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:04 +0900] "GET /web1/m_chcek_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:05 +0900] "GET /web1/m_chcek_on.png HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:27 +0900] "GET /web1/index12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:21:27 +0900] "GET /web1/index12.css HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [09/May/2023:10:38:52 +0900] "GET /web1/index13.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:16 +0900] "GET /web1/index13.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:55 +0900] "GET /web1/index13.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:56 +0900] "GET /web1/index13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:41:02 +0900] "GET /web1/index13.html HTTP/1.1" 304 -
